Transaction_ID,Date,Customer_ID,Amount,Category,Payment_Method,Location
37,2024-05-22,CUST587,100.16,Home,Debit Card,Houston
38,2024-03-20,CUST755,97.1,Groceries,Cash,Miami
39,2024-04-20,CUST6,261.69,Groceries,PayPal,Houston
40,2024-06-21,CUST465,202.81,Electronics,Cash,Miami
41,2024-02-22,CUST348,289.85,Groceries,Cash,Houston
42,2024-02-17,CUST242,451.66,Clothing,Debit Card,Los Angeles
43,2024-07-13,CUST825,196.62,Books,PayPal,Houston
44,2024-02-19,CUST764,134.44,Books,PayPal,Chicago
45,2024-07-02,CUST596,399.41,Groceries,Cash,Miami
46,2024-06-25,CUST580,185.16,Groceries,Cash,Los Angeles
47,2024-11-05,CUST732,401.85,Books,PayPal,Los Angeles
48,2024-05-15,CUST916,218.5,Groceries,PayPal,New York
49,2024-01-23,CUST961,185.43,Clothing,Debit Card,New York
50,2024-08-23,CUST643,463.13,Electronics,Cash,Miami
51,2024-10-01,CUST682,121.18,Books,Debit Card,Houston
52,2024-03-04,CUST547,272.48,Home,PayPal,New York
53,2024-07-12,CUST865,43.14,Books,Debit Card,Chicago
54,2024-02-10,CUST610,348.13,Home,Debit Card,Chicago
55,2024-10-09,CUST240,164.22,Books,Cash,Houston
56,2024-05-30,CUST359,414.59,Electronics,Debit Card,Chicago
57,2024-11-17,CUST307,352.71,Groceries,PayPal,Miami
58,2024-11-12,CUST292,398.8,Books,PayPal,Chicago
59,2024-07-04,CUST683,291.58,Home,PayPal,New York
60,2024-10-22,CUST804,52.83,Electronics,Debit Card,New York
61,2024-04-08,CUST835,459.15,Groceries,Debit Card,Los Angeles
62,2024-12-26,CUST733,492.82,Electronics,PayPal,Los Angeles
63,2024-02-05,CUST587,355.64,Groceries,Debit Card,Houston
64,2024-01-24,CUST689,270.0,Electronics,PayPal,Houston
65,2024-12-04,CUST144,56.88,Books,Credit Card,Los Angeles
66,2024-04-26,CUST732,414.02,Electronics,Credit Card,New York
67,2024-05-28,CUST387,117.77,Clothing,Cash,New York
68,2024-02-10,CUST533,177.43,Clothing,Debit Card,Chicago
69,2024-04-29,CUST756,352.56,Electronics,Credit Card,Houston
70,2024-02-21,CUST254,488.36,Home,PayPal,Houston
71,2024-07-13,CUST108,411.43,Electronics,Credit Card,Miami
72,2024-05-22,CUST336,115.86,Groceries,Debit Card,New York
73,2024-08-20,CUST529,138.22,Home,PayPal,Chicago
74,2024-11-21,CUST597,419.12,Home,PayPal,New York
75,2024-07-05,CUST198,232.82,Electronics,PayPal,Miami
76,2024-03-24,CUST843,221.75,Books,Debit Card,Los Angeles
77,2024-07-08,CUST798,297.58,Electronics,Debit Card,Miami
78,2024-06-30,CUST370,37.01,Clothing,Cash,Los Angeles
79,2024-04-17,CUST466,497.92,Books,Debit Card,Chicago
80,2024-12-09,CUST101,15.95,Books,Credit Card,Houston
81,2024-05-16,CUST151,226.99,Groceries,PayPal,Chicago
82,2024-12-25,CUST729,326.89,Groceries,Cash,Miami
83,2024-12-15,CUST436,448.44,Electronics,Cash,New York
84,2024-11-27,CUST849,240.93,Home,Cash,Los Angeles
85,2024-02-06,CUST422,354.62,Books,Cash,Houston
86,2024-11-07,CUST84,36.57,Home,Cash,New York
87,2024-11-21,CUST95,180.43,Clothing,Cash,Houston
88,2024-03-28,CUST64,477.59,Groceries,Credit Card,Chicago
89,2024-09-30,CUST436,141.66,Groceries,Debit Card,New York
90,2024-05-05,CUST910,129.75,Books,Cash,Miami
91,2024-03-24,CUST134,448.78,Electronics,PayPal,Chicago
92,2024-08-24,CUST488,18.65,Clothing,PayPal,Los Angeles
93,2024-07-13,CUST220,300.88,Home,Cash,Los Angeles
94,2024-05-18,CUST457,218.26,Clothing,Credit Card,New York
95,2024-11-23,CUST80,383.36,Home,Debit Card,Chicago
96,2024-12-18,CUST379,71.01,Groceries,Credit Card,Miami
97,2024-10-12,CUST694,201.14,Books,Cash,Houston
98,2024-04-22,CUST539,332.59,Clothing,PayPal,Los Angeles
99,2024-12-16,CUST413,158.36,Clothing,Debit Card,Houston
100,2024-06-15,CUST603,350.12,Electronics,Credit Card,Miami
101,2024-01-29,CUST573,155.81,Clothing,Debit Card,New York
102,2024-04-27,CUST532,120.12,Groceries,Cash,Los Angeles
103,2024-01-17,CUST798,400.22,Books,PayPal,New York
104,2024-06-10,CUST405,256.44,Electronics,Debit Card,Miami
105,2024-07-24,CUST893,206.54,Home,Credit Card,New York
106,2024-05-17,CUST271,384.32,Home,PayPal,Chicago
107,2024-02-03,CUST599,490.19,Groceries,Debit Card,New York
108,2024-04-18,CUST511,295.5,Clothing,Cash,Miami
109,2024-10-17,CUST652,432.05,Electronics,Debit Card,New York
110,2024-06-10,CUST434,485.59,Home,Credit Card,Los Angeles
111,2024-04-18,CUST451,31.22,Clothing,Credit Card,Houston
112,2024-12-01,CUST706,378.46,Groceries,Cash,Miami
113,2024-09-12,CUST954,295.79,Groceries,PayPal,New York
114,2024-07-21,CUST971,388.44,Groceries,Credit Card,New York
115,2024-11-25,CUST502,40.15,Groceries,PayPal,Chicago
116,2024-08-22,CUST750,36.5,Electronics,PayPal,Houston
117,2024-03-14,CUST997,209.79,Home,Debit Card,Miami
118,2024-05-15,CUST427,84.8,Groceries,Credit Card,New York
119,2024-03-12,CUST844,101.34,Groceries,Credit Card,Chicago
120,2024-05-06,CUST167,489.99,Groceries,Credit Card,Houston
121,2024-10-14,CUST148,388.0,Groceries,Cash,Chicago
122,2024-10-02,CUST518,494.85,Electronics,Credit Card,Chicago
123,2024-05-14,CUST131,418.69,Electronics,PayPal,Miami
124,2024-10-26,CUST497,19.6,Clothing,PayPal,Chicago
125,2024-08-07,CUST729,464.77,Books,PayPal,New York
126,2024-10-25,CUST469,365.69,Groceries,Debit Card,Chicago
127,2024-07-23,CUST133,169.24,Clothing,Cash,Miami
128,2024-07-04,CUST992,51.61,Books,PayPal,New York
129,2024-04-22,CUST722,204.76,Clothing,PayPal,Chicago
130,2024-03-11,CUST526,351.96,Electronics,Cash,New York
131,2024-09-17,CUST884,344.25,Clothing,PayPal,Miami
132,2024-09-09,CUST542,403.43,Clothing,PayPal,Los Angeles
133,2024-02-16,CUST121,193.74,Clothing,Debit Card,Miami
134,2024-01-25,CUST712,239.83,Clothing,Debit Card,Chicago
135,2024-02-26,CUST218,424.4,Books,Credit Card,Los Angeles
136,2024-03-19,CUST467,95.58,Home,Cash,Houston
137,2024-11-17,CUST485,159.04,Home,Credit Card,Miami
138,2024-03-22,CUST34,92.82,Home,Credit Card,Miami
139,2024-12-14,CUST765,218.03,Electronics,PayPal,New York
140,2024-08-04,CUST161,129.75,Electronics,Debit Card,New York
141,2024-11-01,CUST967,49.91,Clothing,Debit Card,Miami
142,2024-02-02,CUST573,133.95,Groceries,Debit Card,Los Angeles
143,2024-07-16,CUST379,104.3,Groceries,PayPal,Houston
144,2024-07-14,CUST944,178.84,Home,Cash,Miami
145,2024-11-01,CUST975,325.38,Clothing,Debit Card,Miami
146,2024-08-27,CUST122,45.38,Groceries,Cash,New York
147,2024-09-27,CUST617,228.61,Groceries,Cash,New York
148,2024-05-08,CUST873,51.54,Books,Credit Card,Miami
149,2024-10-10,CUST419,132.6,Home,Credit Card,Miami
150,2024-01-06,CUST113,440.25,Electronics,Credit Card,Houston
151,2024-12-14,CUST124,35.15,Electronics,Credit Card,New York
152,2024-02-28,CUST379,280.78,Groceries,Debit Card,Houston
153,2024-12-15,CUST586,342.94,Groceries,PayPal,Miami
154,2024-10-01,CUST297,52.27,Home,Debit Card,New York
155,2024-05-16,CUST42,5.86,Electronics,PayPal,Chicago
156,2024-11-24,CUST536,492.64,Books,PayPal,Chicago
157,2024-06-23,CUST157,11.23,Clothing,Cash,New York
158,2024-02-27,CUST121,166.8,Books,PayPal,Houston
159,2024-05-30,CUST381,156.6,Books,PayPal,Houston
160,2024-08-10,CUST313,401.02,Groceries,Cash,Houston
161,2024-03-21,CUST384,286.2,Electronics,Credit Card,New York
162,2024-08-20,CUST311,190.54,Books,Credit Card,New York
163,2024-01-02,CUST302,39.35,Books,Cash,Houston
164,2024-05-14,CUST498,90.33,Electronics,Cash,Houston
165,2024-09-13,CUST29,320.06,Home,Credit Card,Los Angeles
166,2024-04-01,CUST811,251.61,Clothing,Debit Card,Miami
167,2024-09-16,CUST147,269.93,Clothing,Credit Card,Chicago
168,2024-02-24,CUST146,488.01,Clothing,PayPal,Los Angeles
169,2024-11-16,CUST803,53.0,Books,Debit Card,New York
170,2024-06-01,CUST604,343.17,Electronics,Cash,Houston
171,2024-11-23,CUST432,81.56,Groceries,PayPal,Houston
172,2024-09-16,CUST50,190.21,Books,Debit Card,New York
173,2024-11-07,CUST960,92.58,Groceries,Cash,Miami
174,2024-04-11,CUST916,223.15,Books,Cash,New York
175,2024-03-19,CUST313,423.76,Groceries,Debit Card,Chicago
176,2024-07-10,CUST911,387.13,Books,Debit Card,Miami
177,2024-03-23,CUST291,256.13,Clothing,Cash,Chicago
178,2024-10-03,CUST221,408.11,Groceries,PayPal,Miami
179,2024-09-28,CUST188,225.33,Electronics,Credit Card,Los Angeles
180,2024-01-01,CUST839,312.93,Electronics,Debit Card,Chicago
181,2024-11-02,CUST758,467.97,Home,Debit Card,New York
182,2024-06-14,CUST501,444.68,Groceries,Credit Card,Chicago
183,2024-09-07,CUST3,397.86,Clothing,Debit Card,Miami
184,2024-01-10,CUST126,64.54,Groceries,Debit Card,Houston
185,2024-02-27,CUST561,467.45,Clothing,Debit Card,Houston
186,2024-07-04,CUST358,467.84,Groceries,Debit Card,Miami
187,2024-06-06,CUST70,58.35,Clothing,PayPal,Chicago
188,2024-05-02,CUST892,343.1,Electronics,PayPal,Houston
189,2024-01-30,CUST46,297.1,Home,Credit Card,Los Angeles
190,2024-05-03,CUST428,87.86,Home,Cash,Chicago
191,2024-10-17,CUST493,54.36,Books,Credit Card,New York
192,2024-02-10,CUST587,100.61,Groceries,PayPal,New York
193,2024-02-13,CUST318,81.85,Home,Cash,Los Angeles
194,2024-09-05,CUST580,308.53,Books,Debit Card,New York
195,2024-02-05,CUST464,172.01,Books,Credit Card,Los Angeles
196,2024-09-29,CUST922,230.06,Home,PayPal,New York
197,2024-03-05,CUST346,330.95,Clothing,Debit Card,Chicago
198,2024-03-06,CUST801,416.73,Clothing,Cash,New York
199,2024-12-03,CUST387,393.11,Groceries,Cash,Miami
200,2024-08-31,CUST487,472.29,Groceries,PayPal,Houston
201,2024-10-08,CUST855,336.01,Groceries,Cash,New York
202,2024-03-25,CUST738,37.4,Books,Cash,Houston
203,2024-05-15,CUST854,126.88,Electronics,Cash,Chicago
204,2024-09-27,CUST621,74.98,Books,PayPal,Miami
205,2024-11-06,CUST136,480.39,Home,Credit Card,Miami
206,2024-08-04,CUST781,247.93,Electronics,Cash,Miami
207,2024-04-18,CUST142,398.06,Electronics,Credit Card,Houston
208,2024-10-03,CUST517,25.59,Clothing,Debit Card,Los Angeles
209,2024-12-19,CUST652,34.02,Home,Cash,Los Angeles
210,2024-04-12,CUST472,491.26,Books,Cash,Chicago
211,2024-06-08,CUST780,242.81,Electronics,Cash,Miami
212,2024-07-23,CUST461,422.58,Clothing,PayPal,Chicago
213,2024-12-09,CUST684,331.53,Books,Cash,Houston
214,2024-11-28,CUST460,378.53,Books,Credit Card,Houston
215,2024-07-10,CUST153,297.61,Electronics,Credit Card,Chicago
216,2024-08-12,CUST888,424.65,Clothing,Cash,New York
217,2024-09-21,CUST746,50.02,Books,Cash,Miami
218,2024-08-19,CUST334,329.13,Books,Debit Card,Chicago
219,2024-03-02,CUST92,456.37,Books,Debit Card,Miami
220,2024-05-06,CUST820,283.68,Home,Debit Card,Chicago
221,2024-04-25,CUST640,352.59,Groceries,Credit Card,Miami
222,2024-02-02,CUST681,263.23,Groceries,Debit Card,Los Angeles
223,2024-06-22,CUST639,379.68,Clothing,Debit Card,Los Angeles
224,2024-01-11,CUST420,323.38,Clothing,Credit Card,Chicago
225,2024-10-28,CUST397,144.87,Home,Debit Card,New York
226,2024-10-10,CUST239,72.06,Home,Cash,Miami
227,2024-04-27,CUST922,382.94,Clothing,Debit Card,Miami
228,2024-10-28,CUST405,150.01,Home,Cash,New York
229,2024-04-22,CUST348,315.04,Electronics,PayPal,New York
230,2024-01-04,CUST554,205.1,Books,Cash,New York
231,2024-02-06,CUST47,191.65,Groceries,Debit Card,Los Angeles
232,2024-12-28,CUST982,247.78,Clothing,Cash,Houston
233,2024-11-19,CUST687,248.16,Clothing,PayPal,Los Angeles
234,2024-01-31,CUST912,164.15,Electronics,Debit Card,Los Angeles
235,2024-04-27,CUST454,244.63,Books,Debit Card,Chicago
236,2024-02-04,CUST754,197.46,Books,Debit Card,Miami
237,2024-01-17,CUST285,251.32,Books,Credit Card,Los Angeles
238,2024-06-18,CUST662,394.25,Groceries,PayPal,Los Angeles
239,2024-02-06,CUST91,147.16,Electronics,PayPal,Houston
240,2024-09-20,CUST887,343.61,Books,Cash,Houston
241,2024-05-01,CUST170,32.28,Groceries,Debit Card,Houston
242,2024-05-22,CUST725,416.47,Books,Credit Card,New York
243,2024-12-08,CUST26,98.1,Home,Cash,Miami
244,2024-09-05,CUST586,49.15,Clothing,Cash,Chicago
245,2024-04-19,CUST646,446.59,Clothing,Cash,Miami
246,2024-10-03,CUST816,375.19,Books,Credit Card,Chicago
247,2024-03-08,CUST791,287.78,Electronics,PayPal,Los Angeles
248,2024-10-19,CUST725,90.81,Electronics,PayPal,Houston
249,2024-10-22,CUST317,160.26,Books,Debit Card,Miami
250,2024-08-30,CUST575,28.74,Home,Credit Card,Los Angeles
251,2024-05-04,CUST661,18.84,Groceries,Debit Card,Los Angeles
252,2024-08-30,CUST127,483.55,Home,Debit Card,Miami
253,2024-07-27,CUST660,195.53,Home,PayPal,Chicago
254,2024-04-07,CUST573,179.12,Groceries,PayPal,Chicago
255,2024-02-18,CUST88,271.19,Home,Debit Card,Chicago
256,2024-02-19,CUST198,412.75,Books,PayPal,Los Angeles
257,2024-12-03,CUST979,343.66,Clothing,PayPal,Chicago
258,2024-08-08,CUST634,219.73,Electronics,Credit Card,Chicago
259,2024-06-30,CUST555,256.65,Clothing,Credit Card,Miami
260,2024-08-04,CUST591,425.36,Electronics,PayPal,Los Angeles
261,2024-07-29,CUST776,256.83,Books,Cash,New York
262,2024-08-27,CUST55,342.16,Electronics,PayPal,Los Angeles
263,2024-01-28,CUST981,27.14,Home,Credit Card,Miami
264,2024-12-10,CUST584,111.17,Books,Debit Card,New York
265,2024-11-30,CUST535,231.33,Books,PayPal,New York
266,2024-11-26,CUST194,96.92,Clothing,Debit Card,New York
267,2024-02-20,CUST769,114.68,Groceries,Credit Card,Chicago
268,2024-02-01,CUST488,163.55,Groceries,Credit Card,Chicago
269,2024-07-25,CUST515,358.45,Groceries,Cash,Houston
270,2024-06-22,CUST919,250.16,Groceries,Debit Card,Houston
271,2024-02-25,CUST20,287.72,Electronics,Cash,Miami
272,2024-05-07,CUST124,308.44,Home,Credit Card,Chicago
273,2024-04-08,CUST675,27.39,Clothing,Cash,New York
274,2024-04-07,CUST959,193.84,Electronics,Credit Card,Chicago
275,2024-10-01,CUST545,450.66,Home,PayPal,New York
276,2024-08-17,CUST185,62.58,Books,Debit Card,Los Angeles
277,2024-03-12,CUST986,148.77,Home,Cash,Miami
278,2024-08-04,CUST20,452.68,Electronics,PayPal,Miami
279,2024-04-03,CUST282,331.5,Electronics,Credit Card,Chicago
280,2024-05-22,CUST806,458.05,Electronics,Credit Card,Chicago
281,2024-08-24,CUST211,168.72,Home,Cash,Los Angeles
282,2024-05-07,CUST252,92.64,Groceries,PayPal,Los Angeles
283,2024-02-08,CUST850,198.01,Clothing,PayPal,Los Angeles
284,2024-08-14,CUST723,118.04,Electronics,PayPal,Houston
285,2024-10-08,CUST860,459.2,Books,PayPal,Chicago
286,2024-02-20,CUST909,203.97,Clothing,PayPal,New York
287,2024-01-26,CUST594,82.18,Home,Debit Card,Miami
288,2024-11-29,CUST455,301.38,Electronics,Credit Card,Los Angeles
289,2024-10-03,CUST87,312.77,Books,Debit Card,Miami
290,2024-01-08,CUST827,132.8,Electronics,Cash,Houston
291,2024-02-17,CUST547,461.48,Electronics,Debit Card,Los Angeles
292,2024-05-01,CUST622,341.8,Books,Credit Card,New York
293,2024-03-26,CUST329,356.54,Clothing,Debit Card,Houston
294,2024-07-27,CUST412,451.53,Groceries,Cash,Chicago
295,2024-09-05,CUST604,158.32,Groceries,Debit Card,Los Angeles
296,2024-09-03,CUST47,470.44,Home,Cash,Chicago
297,2024-04-19,CUST504,328.4,Groceries,PayPal,Los Angeles
298,2024-07-24,CUST883,457.3,Clothing,Cash,Los Angeles
299,2024-01-31,CUST957,207.56,Electronics,Debit Card,Los Angeles
300,2024-03-25,CUST24,10.06,Electronics,Cash,Chicago
301,2024-07-13,CUST349,412.66,Groceries,Cash,Los Angeles
302,2024-01-02,CUST448,191.68,Home,Cash,Chicago
303,2024-07-18,CUST185,422.1,Electronics,Cash,Los Angeles
304,2024-05-15,CUST425,98.8,Home,Cash,New York
305,2024-08-20,CUST25,390.72,Groceries,Cash,Los Angeles
306,2024-05-26,CUST881,130.45,Electronics,Cash,Miami
307,2024-08-04,CUST541,10.16,Electronics,PayPal,Chicago
308,2024-12-22,CUST325,347.8,Home,Debit Card,Houston
309,2024-10-11,CUST392,25.69,Groceries,PayPal,Miami
310,2024-12-04,CUST264,384.73,Home,Cash,Houston
311,2024-09-06,CUST94,68.8,Books,Credit Card,Chicago
312,2024-03-20,CUST118,346.3,Groceries,Debit Card,Houston
313,2024-04-07,CUST102,39.91,Books,PayPal,Los Angeles
314,2024-05-31,CUST555,61.62,Clothing,Credit Card,Miami
315,2024-04-21,CUST173,83.67,Books,Cash,New York
316,2024-01-30,CUST293,396.64,Groceries,PayPal,Houston
317,2024-10-23,CUST148,37.92,Electronics,Credit Card,Los Angeles
318,2024-10-04,CUST188,270.79,Groceries,PayPal,Los Angeles
319,2024-02-01,CUST262,87.85,Home,Debit Card,Chicago
320,2024-06-09,CUST787,371.35,Electronics,Credit Card,New York
321,2024-01-30,CUST92,477.88,Clothing,PayPal,New York
322,2024-01-26,CUST158,358.94,Groceries,Debit Card,Houston
323,2024-10-26,CUST315,349.03,Home,Cash,Chicago
324,2024-09-01,CUST976,145.98,Clothing,Cash,Chicago
325,2024-09-14,CUST418,146.79,Clothing,Debit Card,Chicago
326,2024-09-28,CUST695,428.48,Electronics,Debit Card,Miami
327,2024-03-21,CUST174,134.44,Books,Debit Card,New York
328,2024-01-30,CUST61,381.69,Books,Credit Card,Chicago
329,2024-09-17,CUST630,200.48,Clothing,Cash,Miami
330,2024-02-11,CUST985,443.37,Clothing,Cash,Los Angeles
331,2024-04-05,CUST334,105.05,Electronics,Credit Card,Miami
332,2024-02-05,CUST186,47.82,Groceries,PayPal,Chicago
333,2024-10-31,CUST28,423.99,Electronics,Credit Card,New York
334,2024-02-04,CUST731,104.39,Electronics,Credit Card,Houston
335,2024-12-11,CUST60,261.52,Clothing,Credit Card,Miami
336,2024-04-30,CUST306,22.67,Clothing,Credit Card,Los Angeles
337,2024-07-25,CUST400,242.02,Electronics,Credit Card,Miami
338,2024-03-02,CUST102,60.15,Clothing,Debit Card,Houston
339,2024-10-18,CUST328,23.83,Home,Credit Card,Los Angeles
340,2024-05-06,CUST146,197.09,Groceries,PayPal,Chicago
341,2024-10-23,CUST423,46.39,Books,PayPal,Chicago
342,2024-10-31,CUST915,348.34,Books,Credit Card,Miami
343,2024-01-21,CUST332,38.36,Electronics,PayPal,Houston
344,2024-11-13,CUST265,220.79,Books,PayPal,Los Angeles
345,2024-02-11,CUST385,188.6,Clothing,Debit Card,Miami
346,2024-08-02,CUST965,370.48,Clothing,Debit Card,Los Angeles
347,2024-12-02,CUST848,223.8,Books,Cash,Houston
348,2024-10-25,CUST922,385.72,Electronics,PayPal,New York
349,2024-10-16,CUST124,333.12,Electronics,Cash,Houston
350,2024-09-24,CUST54,254.29,Books,Debit Card,Los Angeles
351,2024-06-10,CUST208,487.38,Clothing,Credit Card,Chicago
352,2024-05-13,CUST246,385.43,Electronics,PayPal,Miami
353,2024-04-14,CUST771,363.83,Groceries,Credit Card,Houston
354,2024-12-08,CUST612,26.66,Groceries,Credit Card,Los Angeles
355,2024-06-09,CUST601,12.03,Groceries,Credit Card,Houston
356,2024-05-02,CUST243,80.59,Electronics,Cash,New York
357,2024-05-15,CUST505,430.45,Electronics,Credit Card,Miami
358,2024-07-21,CUST521,129.15,Books,Cash,New York
359,2024-03-08,CUST771,91.89,Electronics,PayPal,Chicago
360,2024-12-09,CUST517,233.71,Books,Cash,Chicago
361,2024-11-26,CUST395,451.27,Books,Credit Card,Miami
362,2024-06-02,CUST973,32.93,Home,PayPal,Los Angeles
363,2024-08-22,CUST118,193.12,Home,Credit Card,Los Angeles
364,2024-06-10,CUST276,473.68,Clothing,PayPal,Houston
365,2024-02-07,CUST63,255.27,Electronics,Cash,Los Angeles
366,2024-01-05,CUST326,116.49,Electronics,Debit Card,Los Angeles
367,2024-08-22,CUST476,315.47,Groceries,Credit Card,New York
368,2024-11-14,CUST567,171.26,Groceries,Cash,Houston
369,2024-10-15,CUST417,361.98,Clothing,Cash,Houston
370,2024-02-21,CUST68,17.53,Clothing,Cash,Chicago
371,2024-02-07,CUST496,223.06,Home,Cash,New York
372,2024-10-02,CUST30,422.49,Clothing,Debit Card,New York
373,2024-04-19,CUST418,302.82,Clothing,Cash,New York
374,2024-09-16,CUST649,147.46,Clothing,Cash,Chicago
375,2024-05-15,CUST240,84.74,Clothing,Debit Card,Los Angeles
376,2024-03-08,CUST936,275.83,Books,Credit Card,Los Angeles
377,2024-06-27,CUST908,162.19,Electronics,Cash,Houston
378,2024-02-05,CUST20,60.13,Electronics,Credit Card,New York
379,2024-05-05,CUST276,37.24,Books,Credit Card,Los Angeles
380,2024-07-08,CUST568,261.43,Clothing,Debit Card,Chicago
381,2024-05-25,CUST987,13.64,Home,Debit Card,New York
382,2024-03-21,CUST601,361.64,Clothing,Cash,Chicago
383,2024-08-12,CUST692,363.42,Clothing,Debit Card,Houston
384,2024-10-05,CUST104,164.22,Clothing,Cash,Houston
385,2024-12-26,CUST253,24.02,Electronics,PayPal,Chicago
386,2024-06-03,CUST782,451.25,Books,Debit Card,Houston
387,2024-11-09,CUST569,343.74,Groceries,Debit Card,Miami
388,2024-11-30,CUST668,7.92,Clothing,Credit Card,Miami
389,2024-09-27,CUST805,6.69,Electronics,PayPal,Houston
390,2024-01-05,CUST129,33.92,Electronics,Cash,Los Angeles
391,2024-12-07,CUST312,196.83,Home,Cash,Houston
392,2024-10-10,CUST582,285.64,Electronics,Debit Card,New York
393,2024-06-02,CUST417,429.22,Electronics,PayPal,Los Angeles
394,2024-12-05,CUST457,382.28,Electronics,PayPal,Houston
395,2024-02-23,CUST86,22.42,Clothing,Cash,Miami
396,2024-03-09,CUST867,275.06,Books,Credit Card,Miami
397,2024-05-15,CUST652,14.8,Home,PayPal,Miami
398,2024-02-29,CUST513,412.88,Books,PayPal,Houston
399,2024-02-24,CUST209,240.83,Clothing,Cash,New York
400,2024-10-10,CUST802,287.89,Clothing,Debit Card,Miami
401,2024-03-20,CUST992,196.1,Home,Debit Card,New York
402,2024-05-19,CUST146,344.38,Electronics,Cash,Chicago
403,2024-05-24,CUST383,196.45,Clothing,Cash,Los Angeles
404,2024-11-05,CUST554,455.57,Clothing,Credit Card,Miami
405,2024-04-17,CUST173,122.65,Clothing,Credit Card,Los Angeles
406,2024-06-24,CUST801,247.83,Books,Credit Card,Miami
407,2024-04-14,CUST252,128.77,Clothing,PayPal,Miami
408,2024-12-17,CUST551,490.16,Home,PayPal,Miami
409,2024-11-20,CUST976,320.17,Groceries,Credit Card,New York
410,2024-05-15,CUST434,242.17,Electronics,Cash,Los Angeles
411,2024-09-15,CUST985,449.8,Clothing,Cash,Los Angeles
412,2024-09-07,CUST934,229.84,Clothing,Debit Card,Los Angeles
413,2024-05-08,CUST569,440.32,Clothing,Debit Card,Miami
414,2024-01-27,CUST463,115.8,Home,Cash,Houston
415,2024-02-17,CUST43,147.0,Books,Credit Card,Chicago
416,2024-11-20,CUST2,366.83,Books,Cash,Houston
417,2024-08-04,CUST833,481.7,Groceries,PayPal,Chicago
418,2024-05-21,CUST476,197.28,Books,Cash,Los Angeles
419,2024-01-23,CUST985,132.32,Books,Cash,Houston
420,2024-01-02,CUST850,84.36,Clothing,Credit Card,Houston
421,2024-06-19,CUST636,371.3,Clothing,Credit Card,Chicago
422,2024-03-07,CUST297,218.71,Books,PayPal,Chicago
423,2024-11-22,CUST669,153.43,Clothing,Cash,Chicago
424,2024-05-14,CUST996,26.06,Home,Debit Card,New York
425,2024-03-23,CUST172,208.13,Groceries,PayPal,Los Angeles
426,2024-08-14,CUST1,440.5,Books,Cash,Chicago
427,2024-10-09,CUST62,426.58,Books,Cash,Houston
428,2024-12-27,CUST956,493.81,Home,PayPal,Los Angeles
429,2024-08-06,CUST944,66.89,Groceries,Debit Card,Los Angeles
430,2024-10-14,CUST494,315.12,Groceries,Debit Card,Los Angeles
431,2024-01-05,CUST280,108.01,Electronics,Cash,New York
432,2024-02-27,CUST613,205.87,Clothing,PayPal,Miami
433,2024-02-08,CUST257,442.39,Books,PayPal,Los Angeles
434,2024-12-19,CUST860,232.99,Home,Cash,Chicago
